GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
8600000US70519,70519,ZCTA5 70519,-,**
8600000US70520,70520,ZCTA5 70520,56543,4901
8600000US70523,70523,ZCTA5 70523,36875,11977
8600000US70524,70524,ZCTA5 70524,36250,19832
8600000US70525,70525,ZCTA5 70525,42862,9227
8600000US70526,70526,ZCTA5 70526,31322,5089
8600000US70528,70528,ZCTA5 70528,43403,8247
8600000US70529,70529,ZCTA5 70529,50846,11652
8600000US70531,70531,ZCTA5 70531,31335,14612
8600000US70532,70532,ZCTA5 70532,33716,5772
8600000US70533,70533,ZCTA5 70533,50325,4190
8600000US70534,70534,ZCTA5 70534,38036,21141
8600000US70535,70535,ZCTA5 70535,39257,4061
8600000US70537,70537,ZCTA5 70537,33947,3632
8600000US70538,70538,ZCTA5 70538,39745,4153
8600000US70541,70541,ZCTA5 70541,23750,7047
8600000US70542,70542,ZCTA5 70542,50982,15419
8600000US70543,70543,ZCTA5 70543,52533,9272
8600000US70544,70544,ZCTA5 70544,36967,2837
8600000US70546,70546,ZCTA5 70546,36722,3875
8600000US70548,70548,ZCTA5 70548,39148,7738
8600000US70549,70549,ZCTA5 70549,45000,7387
8600000US70550,70550,ZCTA5 70550,-,**
8600000US70552,70552,ZCTA5 70552,36887,10069
8600000US70554,70554,ZCTA5 70554,31175,4906
8600000US70555,70555,ZCTA5 70555,67920,7114
8600000US70556,70556,ZCTA5 70556,-,**
8600000US70558,70558,ZCTA5 70558,-,**
8600000US70559,70559,ZCTA5 70559,46725,3486
8600000US70560,70560,ZCTA5 70560,39823,2572
8600000US70563,70563,ZCTA5 70563,63661,6249
8600000US70570,70570,ZCTA5 70570,28843,2941
8600000US70575,70575,ZCTA5 70575,-,**
8600000US70576,70576,ZCTA5 70576,36964,16789
8600000US70577,70577,ZCTA5 70577,33240,4220
8600000US70578,70578,ZCTA5 70578,43979,5838
8600000US70580,70580,ZCTA5 70580,-,**
8600000US70581,70581,ZCTA5 70581,41667,31582
8600000US70582,70582,ZCTA5 70582,48813,3667
8600000US70583,70583,ZCTA5 70583,44985,6694
8600000US70584,70584,ZCTA5 70584,43487,9445
8600000US70585,70585,ZCTA5 70585,29821,10904
8600000US70586,70586,ZCTA5 70586,30631,2669
8600000US70589,70589,ZCTA5 70589,35610,5588
8600000US70591,70591,ZCTA5 70591,45510,8653
8600000US70592,70592,ZCTA5 70592,76883,8009
8600000US70601,70601,ZCTA5 70601,31773,3204
8600000US70605,70605,ZCTA5 70605,68551,5716
8600000US70607,70607,ZCTA5 70607,38750,3384
8600000US70611,70611,ZCTA5 70611,67969,5664
8600000US70615,70615,ZCTA5 70615,30890,5204
8600000US70630,70630,ZCTA5 70630,59886,29787
8600000US70631,70631,ZCTA5 70631,49375,23127
8600000US70632,70632,ZCTA5 70632,95938,33137
8600000US70633,70633,ZCTA5 70633,43896,7622
8600000US70634,70634,ZCTA5 70634,48326,3432
8600000US70637,70637,ZCTA5 70637,40938,34049
8600000US70638,70638,ZCTA5 70638,41750,17920
8600000US70639,70639,ZCTA5 70639,21711,9028
8600000US70640,70640,ZCTA5 70640,24271,7660
8600000US70643,70643,ZCTA5 70643,61304,11654
8600000US70644,70644,ZCTA5 70644,-,**
8600000US70645,70645,ZCTA5 70645,45789,23482
8600000US70646,70646,ZCTA5 70646,-,**
8600000US70647,70647,ZCTA5 70647,51679,7156
8600000US70648,70648,ZCTA5 70648,47300,7465
8600000US70650,70650,ZCTA5 70650,55385,24491
8600000US70651,70651,ZCTA5 70651,-,**
8600000US70652,70652,ZCTA5 70652,60274,26793
8600000US70653,70653,ZCTA5 70653,38333,10148
8600000US70654,70654,ZCTA5 70654,-,**
8600000US70655,70655,ZCTA5 70655,39554,10207
8600000US70656,70656,ZCTA5 70656,38977,14481
8600000US70657,70657,ZCTA5 70657,60735,24549
8600000US70658,70658,ZCTA5 70658,67679,22606
8600000US70659,70659,ZCTA5 70659,49327,9256
8600000US70660,70660,ZCTA5 70660,49028,15568
8600000US70661,70661,ZCTA5 70661,47720,14641
8600000US70662,70662,ZCTA5 70662,33882,28128
8600000US70663,70663,ZCTA5 70663,53169,3116
8600000US70665,70665,ZCTA5 70665,64684,5986
8600000US70668,70668,ZCTA5 70668,46341,7961
8600000US70669,70669,ZCTA5 70669,55423,4457
8600000US70706,70706,ZCTA5 70706,64211,4620
8600000US70710,70710,ZCTA5 70710,68261,16028
8600000US70711,70711,ZCTA5 70711,64688,18257
8600000US70712,70712,ZCTA5 70712,57143,29012
8600000US70714,70714,ZCTA5 70714,51522,5581
8600000US70715,70715,ZCTA5 70715,43063,8013
8600000US70719,70719,ZCTA5 70719,60313,19736
8600000US70721,70721,ZCTA5 70721,26492,9347
8600000US70722,70722,ZCTA5 70722,50068,19267
8600000US70723,70723,ZCTA5 70723,41250,20911
8600000US70725,70725,ZCTA5 70725,65069,25265
8600000US70726,70726,ZCTA5 70726,63152,3795
8600000US70729,70729,ZCTA5 70729,-,**
8600000US70730,70730,ZCTA5 70730,49449,7517
8600000US70732,70732,ZCTA5 70732,45901,4175
8600000US70733,70733,ZCTA5 70733,42500,11919
8600000US70734,70734,ZCTA5 70734,90671,15167
8600000US70736,70736,ZCTA5 70736,32989,23479
8600000US70737,70737,ZCTA5 70737,72852,3769
8600000US70739,70739,ZCTA5 70739,83344,6401
8600000US70740,70740,ZCTA5 70740,44864,16308
8600000US70743,70743,ZCTA5 70743,70313,54726
8600000US70744,70744,ZCTA5 70744,35272,6683
8600000US70747,70747,ZCTA5 70747,33125,33124
8600000US70748,70748,ZCTA5 70748,44123,5978
8600000US70749,70749,ZCTA5 70749,52725,8363
8600000US70750,70750,ZCTA5 70750,25163,4377
8600000US70752,70752,ZCTA5 70752,67649,64834
8600000US70753,70753,ZCTA5 70753,24238,8637
8600000US70754,70754,ZCTA5 70754,56014,9409
8600000US70755,70755,ZCTA5 70755,70000,15924
8600000US70756,70756,ZCTA5 70756,86979,83882
8600000US70757,70757,ZCTA5 70757,39575,6481
8600000US70759,70759,ZCTA5 70759,39900,8698
8600000US70760,70760,ZCTA5 70760,36019,4976
8600000US70761,70761,ZCTA5 70761,32813,12396
8600000US70762,70762,ZCTA5 70762,-,**
8600000US70763,70763,ZCTA5 70763,74318,11739
8600000US70764,70764,ZCTA5 70764,45968,6563
8600000US70767,70767,ZCTA5 70767,57035,5516
8600000US70769,70769,ZCTA5 70769,88759,7502
8600000US70770,70770,ZCTA5 70770,60189,12544
8600000US70772,70772,ZCTA5 70772,38250,20082
8600000US70773,70773,ZCTA5 70773,-,**
8600000US70774,70774,ZCTA5 70774,78183,9312
8600000US70775,70775,ZCTA5 70775,56315,5676
8600000US70776,70776,ZCTA5 70776,68417,7780
8600000US70777,70777,ZCTA5 70777,52361,11948
8600000US70778,70778,ZCTA5 70778,60054,18229
8600000US70780,70780,ZCTA5 70780,47788,26361
8600000US70782,70782,ZCTA5 70782,24459,13075
8600000US70783,70783,ZCTA5 70783,54833,13795
8600000US70785,70785,ZCTA5 70785,59959,8320
8600000US70787,70787,ZCTA5 70787,-,**
8600000US70788,70788,ZCTA5 70788,47039,10639
8600000US70789,70789,ZCTA5 70789,37308,13445
8600000US70791,70791,ZCTA5 70791,72631,9583
8600000US70801,70801,ZCTA5 70801,-,**
8600000US70802,70802,ZCTA5 70802,24920,3608
8600000US70803,70803,ZCTA5 70803,-,**
8600000US70805,70805,ZCTA5 70805,25783,2260
8600000US70806,70806,ZCTA5 70806,41436,3804
8600000US70807,70807,ZCTA5 70807,28953,4381
8600000US70808,70808,ZCTA5 70808,61807,5151
8600000US70809,70809,ZCTA5 70809,71685,4423
8600000US70810,70810,ZCTA5 70810,81004,4758
8600000US70811,70811,ZCTA5 70811,44063,4338
8600000US70812,70812,ZCTA5 70812,39690,3997
8600000US70814,70814,ZCTA5 70814,53026,4397
8600000US70815,70815,ZCTA5 70815,49322,3241
8600000US70816,70816,ZCTA5 70816,49413,2314
8600000US70817,70817,ZCTA5 70817,86968,4601
8600000US70818,70818,ZCTA5 70818,70154,4789
8600000US70819,70819,ZCTA5 70819,60739,12840
8600000US70820,70820,ZCTA5 70820,27368,7138
8600000US70836,70836,ZCTA5 70836,-,**
8600000US71001,71001,ZCTA5 71001,29592,6329
8600000US71003,71003,ZCTA5 71003,29850,3312
8600000US71004,71004,ZCTA5 71004,33750,9967
8600000US71006,71006,ZCTA5 71006,68568,10175
8600000US71007,71007,ZCTA5 71007,63077,37827
8600000US71008,71008,ZCTA5 71008,33542,11442
8600000US71016,71016,ZCTA5 71016,42115,16905
8600000US71018,71018,ZCTA5 71018,27868,7573
8600000US71019,71019,ZCTA5 71019,40267,9005
8600000US71021,71021,ZCTA5 71021,17091,3453
8600000US71023,71023,ZCTA5 71023,31993,8359
8600000US71024,71024,ZCTA5 71024,32083,10513
8600000US71027,71027,ZCTA5 71027,44010,19692
8600000US71028,71028,ZCTA5 71028,36179,6421
8600000US71029,71029,ZCTA5 71029,46250,25082
8600000US71030,71030,ZCTA5 71030,55153,11118
8600000US71031,71031,ZCTA5 71031,39402,11922
8600000US71032,71032,ZCTA5 71032,39224,12512
8600000US71033,71033,ZCTA5 71033,55875,9763
8600000US71034,71034,ZCTA5 71034,58571,5618
8600000US71037,71037,ZCTA5 71037,52406,8205
8600000US71038,71038,ZCTA5 71038,24260,4429
8600000US71039,71039,ZCTA5 71039,28045,8477
8600000US71040,71040,ZCTA5 71040,25831,3436
8600000US71043,71043,ZCTA5 71043,40250,15132
8600000US71044,71044,ZCTA5 71044,44375,11771
